"Feature","Gain"
"Mor03v",0.000173204389181391
"Mor23e",0.000171502169592056
"Ho_Dz.i.",0.000167362436161215
"SM14_AEA.bo.",0.00016529294663337
"Mor16v",0.000164187772738437
"X4",0.000162970026891482
"Eig09_AEA.ri.",0.000162672299628619
"HATS1s",0.00016077492288385
"R3m.",0.000160653936795613
"Mor06u",0.00016062600533782
"RDF035u",0.000160318064218373
"Mor32m",0.000159870360168124
"TDB04m",0.000159055688283117
"ATS4p",0.000155866324360443
"GATS5v",0.000154801181417268
"GATS4m",0.000153387995618734
"SpDiam_L",0.000151662489313452
"Mor18i",0.000151460277643883
"SpMax4_Bh.p.",0.000151292279402948
"HATS8v",0.000151187753124688
"Mor29u",0.000151043183118949
"SM12_EA.bo.",0.000150836012870331
"Dv",0.000150826174437963
"SpMAD_AEA.dm.",0.000150185615484601
"R3i",0.000149708819981062
"TDB05r",0.000148237073129993
"SdsCH",0.000145023530450326
"R2e.",0.000144753582232326
"T.O..S.",0.000144725861360057
"S0K",0.000143500352077903
"TDB07p",0.0001429066084133
"HATS1i",0.000142747514552807
"SpMax_AEA.dm.",0.000141097068992656
"X1A",0.000140085845077443
"Di",0.000139960310371388
"SM12_AEA.bo.",0.00013970363542019
"Mor02s",0.000138783002908361
"SAtot",0.000137696148126093
"H1s",0.000137487382945162
"VR2_Dz.i.",0.0001372662475686
"JGI1",0.000136722345909805
"SpDiam_Dz.v.",0.000135313912437574
"ATSC6s",0.000135226952563707
"Mor24p",0.000134469830142057
"Eig12_AEA.bo.",0.00013403034736033
"RDF050e",0.000133975278474287
"E3m",0.000133168196462284
"ATSC5p",0.000132154813120269
"RDF045u",0.000131884566212155
"SpMaxA_EA.dm.",0.000131329025269772
"HATS4e",0.000131236081030536
"Mor15s",0.00013121098497775
"ATSC7s",0.00013108157455799
"Eig06_AEA.bo.",0.0001309506163952
"Mor23m",0.000130409714334766
"Mor26s",0.000129005650355371
"R1m",0.000128826134387076
"RDF040v",0.000128783877939685
"Mor02p",0.000128691940495554
"Mor11p",0.000127744900411396
"G2e",0.000126004335550103
"GATS5p",0.000125780785459459
"VE2_D",0.000125595270370899
"ATSC5e",0.000124436919868155
"HATS4p",0.000123115298669632
"RDF105m",0.00012271926268524
"R1e",0.000121678299521872
"HVcpx",0.000120219440642111
"SpPosA_B.e.",0.000119247618991758
"SpPosA_RG",0.000119003309025858
"VR2_A",0.000118262952054214
"Mor24v",0.000117288195182926
"Mor06v",0.000116204739387618
"SpAD_EA",0.000115887804284436
"Chi_Dz.v.",0.000115763843835733
"HATS2e",0.000115596097654687
"ZM1",0.000115516154733754
"GATS4e",0.000115126181101685
"RDF020i",0.000114844370287851
"R8e.",0.000113612866800255
"VE1_Dz.Z.",0.000112906664060035
"VE1_Dz.p.",0.000111252483663194
"R1p.",0.000111242832396592
"P2p",0.000110316498499622
"R7i.",0.000109393985624028
"GATS5e",0.000109343999564366
"HATS8m",0.000109006821911091
"CATS2D_05_AL",0.000108839678803172
"ATS4e",0.0001080098861555
"SM12_AEA.ri.",0.00010727488770337
"R5v.",0.000106068005473674
"HATS1m",0.00010581118707434
"AVS_RG",0.000104976886442148
"R7v.",0.000104710018718075
"SM6_X",0.000104686597952521
"SM4_B.m.",0.00010446427765405
"R3s.",0.000104095727332832
"ATSC3m",0.000103776735460298
"AVS_B.p.",0.000102313358098056
"piID",0.000102124797325811
"TDB09i",0.000102022585250092
"SpMax1_Bh.e.",0.000101477711910856
"RDF085u",0.000100877517317692
"Mor07v",0.000100158306879799
"SM06_AEA.ri.",0.000100130683609147
"H5u",9.92917608701726e-05
"CIC5",9.88375382212006e-05
"Mor25v",9.85641278198527e-05
"Eig11_AEA.ri.",9.84169528706265e-05
"Eta_L_A",9.84136184804672e-05
"HTv",9.83778684357216e-05
"Du",9.82210550439318e-05
"RDF085m",9.73969352610167e-05
"Mor25e",9.73626822213675e-05
"Mor20i",9.73266774170542e-05
"MPC04",9.69171189629042e-05
"SpMax3_Bh.m.",9.67599837818842e-05
"R3p.",9.67334618665715e-05
"RDF065i",9.65274064346666e-05
"Psi_i_1",9.6105986046758e-05
"G1i",9.59198323218814e-05
"LOC",9.58396823658084e-05
"GATS8m",9.38215166169543e-05
"R5p.",9.38034093050453e-05
"Mor26u",9.37831695136563e-05
"TDB03p",9.24531855131326e-05
"VE1_B.v.",9.17788953898949e-05
"QXXp",9.17194186661513e-05
"Chi_Dz.Z.",9.15438722474994e-05
"X2A",9.00629400470913e-05
"Chi_B.s.",8.9967884511494e-05
"RDF040e",8.946250559581e-05
"JGI2",8.94083540526391e-05
"ATS2p",8.85856554626527e-05
"H0e",8.82411504375641e-05
"GATS6p",8.81906858192589e-05
"X4Av",8.73752311440924e-05
"SpMin3_Bh.m.",8.61969791036317e-05
"Chi_Dt",8.61503568745782e-05
"Mor20p",8.61394955412597e-05
"MATS3i",8.61027583565528e-05
"R7p.",8.58768501089979e-05
"X1Kup",8.5225481095956e-05
"RDF050u",8.51985543254831e-05
"SpPosA_B.p.",8.48702093849457e-05
"TDB08u",8.48464908468523e-05
"Mor03p",8.44985914181444e-05
"JGI4",8.44969786465991e-05
"Mor20v",8.42100695951141e-05
"R2v.",8.27410057269443e-05
"SM08_AEA.ri.",8.23794329601855e-05
"TDB06i",8.21671513820623e-05
"Mor26i",8.17651581441042e-05
"G3e",8.12658095554759e-05
"Mor27u",8.12428331947536e-05
"Mor14v",8.11915621514794e-05
"IDE",8.09091922921899e-05
"L1v",8.08511915510538e-05
"MATS8e",8.02360200826413e-05
"RDF145u",7.96197014792799e-05
"ATS6e",7.94023636310846e-05
"Xindex",7.87556231694322e-05
"SpMin1_Bh.s.",7.86847972123167e-05
"AROM",7.86442358714063e-05
"Wap",7.82343614401443e-05
"HATS0v",7.66644332213622e-05
"E1p",7.56542916512126e-05
"DISPv",7.56292258523589e-05
"H.052",7.46121090700849e-05
"GATS6m",7.46057579315842e-05
"Mor32e",7.45968323249717e-05
"SpMax_B.s.",7.40569005062805e-05
"R8m",7.39948054658023e-05
"L2e",7.35672496372944e-05
"SpMax7_Bh.s.",7.33551323615353e-05
"L1m",7.28177302097997e-05
"H5v",7.25609663103127e-05
"R4u.",7.2440953818824e-05
"QXXe",7.23656114704631e-05
"piPC08",7.2243535921345e-05
"RDF120u",7.19594789100346e-05
"AVS_B.m.",7.18933764160994e-05
"G3v",7.1116715008654e-05
"SpMax4_Bh.s.",7.08491841734397e-05
"R6m.",7.04581256027326e-05
"F01.C.O.",7.0423235462341e-05
"SM04_AEA.dm.",7.02160705088533e-05
"HATS7i",6.99393679211476e-05
"Eig08_EA.dm.",6.93447749491045e-05
"BIC1",6.89671261552753e-05
"HATS3p",6.86962135944714e-05
"GGI4",6.85834497250852e-05
"Eta_sh_y",6.84510349210399e-05
"Mor17i",6.71369956814278e-05
"TDB07r",6.68564127058341e-05
"ChiA_Dz.p.",6.67639654770082e-05
"GATS7v",6.65700852439834e-05
"nO",6.60585893128786e-05
"ICR",6.59932700609793e-05
"ARR",6.59734890745271e-05
"Ke",6.55177507011569e-05
"SM10_AEA.bo.",6.51376973566834e-05
"SsssCH",6.43073771343941e-05
"HATSp",6.42027700852594e-05
"SpMax7_Bh.m.",6.40881746216092e-05
"RDF120m",6.38301187657164e-05
"nBO",6.36945528168538e-05
"Eig06_EA.ri.",6.29793884203034e-05
